ticker,date,time,title,compound
BITO,2024-10-19,N/A,Morningstar's Amy Arnott on investing in crypto ETFs,0.0
BITO,2024-10-19,N/A,"SEC Chair Gensler reiterates concern over investor protection, despite bitcoin ETF optimism",-0.431
BITO,2024-10-19,N/A,SEC Chair Gary Gensler speaks to Yahoo Finance,0.0
BITO,2024-10-19,N/A,Citigroup CEO: 'Very tangible benefits' come from digital currencies,0.4364
BTC,2024-09-13,03:59PM,Grayscale Adds XRP Trust to Investment Lineup,0.5106
BTC,2024-08-09,06:11PM,"Bitcoin rebound, markets recover: Market Domination",-0.0516
ETH,2024-09-13,03:59PM,Grayscale Adds XRP Trust to Investment Lineup,0.5106
ETH,2024-08-12,02:21AM,Bitcoin price today: down to $58k after weekend sell-off,0.0
ETH,2024-07-31,03:40PM,Grayscale Unveils Bitcoin Mini Trust ETF,0.5106
ETH,2024-07-24,08:00AM,Spot Ethereum ETFs Net $107M in Inflows in Debut,0.0
