Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1.7064E+12,1/28/2024,SHIBUSDT,9.13E-06,9.25E-06,8.91E-06,9.00E-06,1.59371E+12,14504435.16,43773
1.70631E+12,1/27/2024,SHIBUSDT,9.04E-06,9.22E-06,8.97E-06,9.13E-06,1.05311E+12,9567353.412,34115
1.70623E+12,1/26/2024,SHIBUSDT,8.87E-06,9.14E-06,8.79E-06,9.04E-06,1.5044E+12,13519975.07,43188
1.70614E+12,1/25/2024,SHIBUSDT,8.90E-06,8.93E-06,8.72E-06,8.87E-06,1.23196E+12,10891814,40507
1.70605E+12,1/24/2024,SHIBUSDT,8.84E-06,9.00E-06,8.74E-06,8.90E-06,1.58844E+12,14097089.53,48003
1.70597E+12,1/23/2024,SHIBUSDT,8.92E-06,9.07E-06,8.43E-06,8.83E-06,2.86762E+12,24910797.8,81223
1.70588E+12,1/22/2024,SHIBUSDT,9.35E-06,9.38E-06,8.86E-06,8.93E-06,3.692E+12,33675335.8,87264
1.7058E+12,1/21/2024,SHIBUSDT,9.68E-06,9.74E-06,9.33E-06,9.35E-06,2.28981E+12,21789602.21,54072
1.70571E+12,1/20/2024,SHIBUSDT,9.30E-06,9.86E-06,9.27E-06,9.68E-06,3.12967E+12,29734759.34,85617
1.70562E+12,1/19/2024,SHIBUSDT,9.21E-06,9.40E-06,8.79E-06,9.31E-06,3.88084E+12,35464491.75,83959
1.70554E+12,1/18/2024,SHIBUSDT,9.53E-06,9.57E-06,8.96E-06,9.21E-06,3.3014E+12,30626522.54,79099
1.70545E+12,1/17/2024,SHIBUSDT,9.66E-06,9.73E-06,9.38E-06,9.53E-06,2.44937E+12,23370517.51,58756
1.70536E+12,1/16/2024,SHIBUSDT,9.54E-06,9.75E-06,9.42E-06,9.67E-06,2.2107E+12,21272940.83,64200
1.70528E+12,1/15/2024,SHIBUSDT,9.57E-06,9.76E-06,9.48E-06,9.54E-06,2.2609E+12,21810816.23,66720
1.70519E+12,1/14/2024,SHIBUSDT,9.87E-06,1.01E-05,9.53E-06,9.58E-06,2.24683E+12,22048970.39,75049
1.7051E+12,1/13/2024,SHIBUSDT,9.64E-06,1.01E-05,9.41E-06,9.88E-06,2.52857E+12,24802443.78,77736
1.70502E+12,1/12/2024,SHIBUSDT,1.02E-05,1.03E-05,9.31E-06,9.64E-06,4.57638E+12,45365339.15,146078
1.70493E+12,1/11/2024,SHIBUSDT,9.98E-06,1.05E-05,9.85E-06,1.02E-05,7.12253E+12,72539753.14,190144
1.70484E+12,1/10/2024,SHIBUSDT,9.67E-06,1.02E-05,9.11E-06,9.98E-06,6.11361E+12,58628398.95,157040
1.70476E+12,1/9/2024,SHIBUSDT,9.58E-06,1.00E-05,9.04E-06,9.67E-06,9.00391E+12,86068058.53,205173
1.70467E+12,1/8/2024,SHIBUSDT,9.02E-06,9.59E-06,8.49E-06,9.58E-06,6.17098E+12,56042951.19,129474
1.70459E+12,1/7/2024,SHIBUSDT,9.61E-06,9.68E-06,8.93E-06,9.02E-06,3.33325E+12,31170968.63,85634
1.7045E+12,1/6/2024,SHIBUSDT,9.81E-06,9.83E-06,9.32E-06,9.61E-06,2.32162E+12,22249704.92,71277
1.70441E+12,1/5/2024,SHIBUSDT,1.00E-05,1.01E-05,9.41E-06,9.81E-06,4.40632E+12,42806596.4,108286
1.70433E+12,1/4/2024,SHIBUSDT,9.57E-06,1.01E-05,9.42E-06,9.99E-06,4.38295E+12,42965677.66,106195
1.70424E+12,1/3/2024,SHIBUSDT,1.06E-05,1.07E-05,8.27E-06,9.57E-06,8.80979E+12,84880113.6,228452
1.70415E+12,1/2/2024,SHIBUSDT,1.07E-05,1.09E-05,1.05E-05,1.06E-05,4.11196E+12,43973176.76,104653
1.70407E+12,1/1/2024,SHIBUSDT,1.04E-05,1.07E-05,1.02E-05,1.07E-05,1.91239E+12,20017390.82,58393
1.70398E+12,12/31/2023,SHIBUSDT,1.04E-05,1.06E-05,1.03E-05,1.04E-05,1.63814E+12,17151842.49,52900
1.70389E+12,12/30/2023,SHIBUSDT,1.04E-05,1.06E-05,1.04E-05,1.04E-05,1.6506E+12,17320172.46,52911
1.70381E+12,12/29/2023,SHIBUSDT,1.06E-05,1.07E-05,1.03E-05,1.04E-05,3.22951E+12,33894239.34,90357
1.70372E+12,12/28/2023,SHIBUSDT,1.09E-05,1.11E-05,1.04E-05,1.06E-05,4.54882E+12,48838776.79,123673
